"court_name","local_authority_names"
"Aberystwyth Justice Centre","Swansea Council,Neath Port Talbot Council,Carmarthenshire Council,Pembrokeshire Council,Ceredigion Council,Powys Council"
"Barnet Civil and Family Courts Centre","Harrow Borough Council,Barnet Borough Council,Haringey Borough Council,Enfield Borough Council,Hillingdon Borough Council"
"Barrow-in-Furness County Court","Cumbria County Council"
"Birmingham Civil Justice Centre and Family Courts","Birmingham City Council,Solihull Borough Council"
"Blackburn County Court","Blackpool Borough Council,Blackburn with Darwen Borough Council,Lancashire County Council"
"Bolton County Court","Bolton Borough Council,Bury Borough Council,Rochdale Borough Council,Oldham Borough Council,Wigan Borough Council,Salford City Council,Trafford Borough Council,Manchester City Council,Tameside Borough Council,Stockport Borough Council"
"Bournemouth and Poole County Court","Dorset County Council,Poole Borough Council,Bournemouth Borough Council"
"Bow County Court","Redbridge Borough Council,Newham Borough Council,Tower Hamlets Borough Council,Waltham Forest Borough Council"
"Bradford Combined Court Centre","Leeds City Council,Bradford City Council,Calderdale Borough Council,Wakefield City Council,Kirklees Borough Council"
"Brentford County Court","Ealing Borough Council,Hounslow Borough Council,Brent Borough Council,Kingston upon Thames Borough Council,Richmond upon Thames Borough Council"
"Brighton Family Court","East Sussex County Council,West Sussex County Council,Brighton and Hove City Council"
"Bristol Civil Justice Centre","Bath and North East Somerset Council,Bristol City Council,North Somerset Council,Gloucestershire County Council,South Gloucestershire Council"
"Bromley County Court","Bexley Borough Council,Bromley Council,Lewisham Borough Council,Greenwich Borough Council"
"Caernarfon County Court","Wrexham Council,Flintshire Council,Denbighshire Council,Powys Council,Conwy Council,Gwynedd Council,Isle of Anglesey Council"
"Cambridge County Court","Peterborough City Council,Cambridgeshire County Council,Rutland County Council"
"Canterbury Combined Court Centre","Kent County Council,Medway Council"
"Cardiff Civil Justice Centre","Newport Council,Monmouthshire Council,Caerphilly Council,Torfaen Council,Blaenau Gwent Council,Cardiff Council,Rhondda Cynon Taf Council,Merthyr Tydfil Council,Vale of Glamorgan Council,Bridgend Council"
"Carlisle Combined Court Centre","Cumbria County Council"
"Chelmsford County and Family Proceedings Court","Essex County Council,Southend-on-Sea Borough Council,Thurrock Borough Council,Suffolk County Council"
"Chester Civil Justice Centre","Cheshire East Council,Cheshire West and Chester Council,Warrington Borough Council,Halton Borough Council,Liverpool City Council,Wirral Borough Council,Sefton Borough Council,Knowsley Borough Council,St Helens Borough Council"
"Chesterfield Magistrates' Court","Derby City Council,Derbyshire County Council"
"Coventry Combined Court Centre","Coventry City Council,Warwickshire County Council"
"Croydon County Court","Merton Borough Council,Croydon Borough Council,Sutton Borough Council"
"Derby Combined Court Centre","Derby City Council,Derbyshire County Council"
"Exeter Combined Court Centre","Devon County Council,Torbay Borough Council"
"Guildford County Court","Surrey County Council"
