"council_id","council_name"
"1","Neath Port Talbot Council"
"2","Bristol City Council"
"3","Derby City Council"
"4","Hull City Council"
"5","Leicester City Council"
"6","Nottingham City Council"
"7","Peterborough City Council"
"8","Southampton City Council"
"9","Stoke-on-Trent City Council"
"10","Conwy Council"
"11","Herefordshire Council"
"12","Darlington Borough Council"
"13","East Riding of Yorkshire Council"
"14","Halton Borough Council"
"15","Hartlepool Borough Council"
"16","Luton Borough Council"
"17","Medway Council"
"18","Merthyr Tydfil Council"
"19","Middlesbrough Council"
"20","Milton Keynes Council"
"21","North East Lincolnshire Council"
"22","North Lincolnshire Council"
"23","Bridgend Council"
"24","Poole Borough Council"
"25","Powys Council"
"26","Reading Borough Council"
"27","Redcar and Cleveland Borough Council"
"28","Rhondda Cynon Taf Council"
"29","Rutland County Council"
"30","Denbighshire Council"
"31","Monmouthshire Council"
"32","Carmarthenshire Council"
"33","Flintshire Council"
"34","Slough Borough Council"
"35","Southend-on-Sea Borough Council"
"36","South Gloucestershire Council"
"37","Stockton-on-Tees Borough Council"
"38","Swindon Borough Council"
"39","Telford and Wrekin Council"
"40","Brighton and Hove City Council"
"41","Thurrock Borough Council"
"42","Torfaen Council"
"43","Torbay Borough Council"
"44","Warrington Borough Council"
"45","West Berkshire Council"
"46","Windsor and Maidenhead Council"
"47","Wokingham Borough Council"
"48","Wrexham Council"
"49","City of York Council"
"50","Isle of Wight Council"
"51","Cheshire East Council"
"52","Central Bedfordshire Council"
"53","Cardiff Council"
"54","Ceredigion Council"
"55","Pembrokeshire Council"
"56","North Somerset Council"
"57","Portsmouth City Council"
"58","Plymouth City Council"
"59","Durham County Council"
"60","Shropshire Council"
"61","Wiltshire Council"
"62","Northumberland County Council"
"63","Cornwall Council"
"64","Bedford Borough Council"
"65","Isle of Anglesey Council"
"66","Gwynedd Council"
"67","Cheshire West and Chester Council"
"68","Kingston upon Thames Borough Council"
"69","Croydon Borough Council"
"70","Bromley Council"
"71","Hounslow Borough Council"
"72","Ealing Borough Council"
"73","Havering Borough Council"
"74","Hillingdon Borough Council"
"75","Harrow Borough Council"
"76","Brent Borough Council"
"77","Barnet Borough Council"
"78","Lambeth Borough Council"
"79","Southwark Borough Council"
"80","Lewisham Borough Council"
"81","Greenwich Borough Council"
"82","Bexley Borough Council"
"83","Enfield Borough Council"
"84","Waltham Forest Borough Council"
"85","Redbridge Borough Council"
"86","Sutton Borough Council"
"87","Richmond upon Thames Borough Council"
"88","Merton Borough Council"
"89","Wandsworth Borough Council"
"90","Hammersmith and Fulham Borough Council"
"91","Kensington and Chelsea Borough Council"
"92","Westminster City Council"
"93","Camden Borough Council"
"94","Tower Hamlets Borough Council"
"95","Islington Borough Council"
"96","Hackney Borough Council"
"97","Haringey Borough Council"
"98","Newham Borough Council"
"99","Barking and Dagenham Borough Council"
"100","City of London Corporation"
"101","Barnsley Borough Council"
"102","Birmingham City Council"
"103","Bolton Borough Council"
"104","Bradford City Council"
"105","Bury Borough Council"
"106","Calderdale Borough Council"
"107","Wolverhampton City Council"
"108","Coventry City Council"
"109","Doncaster Borough Council"
"110","Dudley Borough Council"
"111","Gateshead Borough Council"
"112","Kirklees Borough Council"
"113","Knowsley Borough Council"
"114","Leeds City Council"
"115","Liverpool City Council"
"116","Manchester City Council"
"117","Newcastle upon Tyne City Council"
"118","North Tyneside Borough Council"
"119","Oldham Borough Council"
"120","Rochdale Borough Council"
"121","Rotherham Borough Council"
"122","Salford City Council"
"123","Sandwell Borough Council"
"124","Sefton Borough Council"
"125","Sheffield City Council"
"126","Solihull Borough Council"
"127","South Tyneside Borough Council"
"128","Stockport Borough Council"
"129","St Helens Borough Council"
"130","Sunderland City Council"
"131","Tameside Borough Council"
"132","Trafford Borough Council"
"133","Wakefield City Council"
"134","Walsall Borough Council"
"135","Wigan Borough Council"
"136","Wirral Borough Council"
"137","Swansea Council"
"138","Bath and North East Somerset Council"
"139","Blackburn with Darwen Borough Council"
"140","Blackpool Borough Council"
"141","Blaenau Gwent Council"
"142","Bournemouth Borough Council"
"143","Bracknell Forest Council"
"144","Vale of Glamorgan Council"
"145","Caerphilly Council"
"146","Newport Council"
