"court_access_id","image_id","court_access_desc","court_id"
"4","1","This Court has no specific area but a changing mat available on request.","9"
"5","1","Baby changing facilities can be found on the 1st floor.","14"
"9","1","This Court has baby changing facilities.","19"
"10","1","This Court has baby changing facilities.","21"
"11","1","This Court has baby changing facilities.","23"
"13","1","This Court has baby changing facilities.","26"
"16","1","This Court has baby changing facilities.","30"
"17","1","This Court has baby changing facilities.","32"
"20","1","This Court has baby changing facilities.","35"
"24","1","This Court has baby changing facilities.","40"
"25","1","This Court has baby changing facilities.","43"
"26","1","This Court has baby changing facilities.","45"
"28","1","This Court has baby changing facilities.","50"
"29","1","This Court has baby changing facilities.","51"
"31","1","Baby changing facilities can be found on the fourth floor.","53"
"32","1","This Court has baby changing facilities.","54"
"38","1","This Court has no separate areas, but baby changing facilities available.","64"
"39","1","This Court has baby changing facilities.","65"
"40","1","This Court has baby changing facilities.","66"
"41","1","This Court has baby changing facilities.","70"
"42","1","This Court has baby changing facilities.","71"
"43","1","This Court has baby changing facilities.","73"
"44","1","This Court has baby changing facilities.","78"
"45","1","This Court has baby changing facilities.","79"
"46","1","This Court has baby changing facilities.","80"
"47","1","This Court has baby changing facilities.","81"
"49","1","Baby changing facilities can be found on the ground floor.","83"
"50","1","This Court has baby changing facilities.","85"
"51","1","This court has baby changing facilities.","86"
"52","1","This Court has baby changing facilities.","87"
"53","1","Baby changing facilities can be found in the Ladies Toilets.","88"
"55","1","Baby changing facilities can be found on the ground floor in disabled users toilets.","96"
"58","1","This Court has baby changing facilities.","101"
"59","1","Baby changing facilities can be found in the ground floor toilets.","104"
"60","1","This Court has baby changing facilities.","107"
"61","1","This Court has baby changing facilities.","108"
"62","1","This Court has baby changing facilities.","110"
"64","1","This Court has baby changing facilities.","113"
"65","1","This Court has baby changing facilities.","114"
"66","1","This Court has baby changing facilities.","115"
"67","1","This court has baby changing facilities.","118"
"68","1","This Court has baby changing facilities.","123"
"69","1","This Court has baby changing facilities.","126"
"70","1","This Court has baby changing facilities.","127"
"71","1","This Court has baby changing facilities.","128"
"72","1","This Court has baby changing facilities.","129"
"73","1","This Court has baby changing facilities.","130"
"74","1","This Court has baby changing facilities.","132"
"76","1","Changing facilities are available, please see the court usher. However, children should not be brought to court unless you have someone to look after them whilst you are in court. Court Ushers are una","136"
"78","1","This Court has baby changing facilities.","138"
"79","1","This Court has baby changing facilities.","145"
"80","1","This Court has baby changing facilities.","148"
"83","1","This Court has baby changing facilities.","160"
"84","1","This Court has baby changing facilities.","161"
"85","1","This court has baby changing facilities on the 1st floor.","165"
"87","1","Baby changing facilities can be found on the second floor.","169"
"89","1","This Court has baby changing facilities.","176"
"90","1","This Court has baby changing facilities.","177"
"91","1","This Court has baby changing facilities.","178"
"92","1","This Court has baby changing facilities.","180"
"93","1","This Court has baby changing facilities.","181"
"95","1","This Court has baby changing facilities.","186"
"96","1","This Court has baby changing facilities.","187"
"98","1","Baby changing facilities can be found on the ground floor adjacent to waiting room.","190"
"99","1","This Court has baby changing facilities.","191"
"100","1","This Court has baby changing facilities.","193"
"102","1","This Court has baby changing facilities.","198"
"103","1","This Court has baby changing facilities.","199"
"107","1","This Court has baby changing facilities.","206"
"108","1","This Court has baby changing facilities.","207"
"109","1","Baby changing facilities can be found on the ground floor.","208"
"111","1","This Court has baby changing facilities.","211"
"112","1","Baby changing mat is available upon request.","212"
"113","1","Baby changing facilities can be found on the first floor.","213"
"114","1","This Court has baby changing facilities.","214"
"115","1","This Court has baby changing facilities.","216"
"116","1","This Court has baby changing facilities.","217"
"117","1","This Court has baby changing facilities.","218"
"119","1","Baby changing facilities can be found on the ground floor in the ladies public toilets.","228"
"120","1","This Court has baby changing facilities.","229"
"121","1","This Court has baby changing facilities.","230"
"122","1","This Court has baby changing facilities.","231"
"123","1","This Court has baby changing facilities.","233"
"124","1","This Court has baby changing facilities.","235"
"127","1","This Court has baby changing facilities.","242"
"130","1","This Court has baby changing facilities.","248"
"132","1","This Court has baby changing facilities.","252"
"133","1","This Court has baby changing facilities.","253"
"134","1","Baby changing facilities can be found at Greenwich.","254"
"136","1","This Court has baby changing facilities.","258"
"137","1","This Court has baby changing facilities.","261"
"138","1","This Court has baby changing facilities.","262"
"140","1","This Court has baby changing facilities.","266"
"141","1","This Court has baby changing facilities.","267"
"142","1","Baby changing facilities can be found on the ground floor shared with the ladies toilet.","268"
"143","1","This Court has baby changing facilities.","269"
"144","1","This Court has baby changing facilities.","271"
"146","1","This Court has baby changing facilities.","274"
"147","1","This court has baby changing facilities.","276"
"148","1","This Court has baby changing facilities.","277"
"149","1","This Court has baby changing facilities.","282"
"150","1","This Court has baby changing facilities.","284"
