"court_addr_id","court_addr_postal_flag","court_addr1","court_addr2","court_addr3","court_addr4","court_addr_pcode","court_addr_dx","court_town_id","court_addr_multimap","court_latitude","court_longitude"
"3","false","Tudor Street","","","","NP7 5DL","DX 43665 Cwmbran","3","","51.821759","-3.023196"
"6","false","Bradshawgate House","1 Oak Street","","","BB5 1EQ","DX 702645 Accrington 2","6","","53.751466","-2.361725"
"7","false","East Lancashire Magistrates' Court","The Law Courts","Manchester Road","","BB5 2BH","","6","","53.749127","-2.359324"
"9","false","84-86 Victoria Road","","","","GU11 1SS","DX 98530 Aldershot 2","7","","51.248365","-0.75955"
"10","false","The Court House","Civic Centre","","","GU11 1NY","DX 145110 Aldershot 4","7","","51.250614","-0.768989"
"13","false","The Court House","25 Normandy Street","","","GU34 1DQ","DX 145110 Aldershot 4","383","","51.151296","-0.971389"
"14","false","Trafford Courthouse","Ashton Lane","","","M33 7WX","DX 708292 Sale 6","285","","53.42631","-2.325277"
"15","false","King George V Road","","","","HP6 5AJ","","10","","51.674723","-0.602837"
"16","false","The Court House","West Street","","","SP10 1QP","DX 145110 Aldershot 4","11","","51.2088","-1.48029"
"19","false","Henry Square","","","","OL6 7TP","DX 702625 Ashton-under-Lyne 2","14","","53.485575","-2.102121"
"21","false","Walton Street","","","","HP21 7QZ","DX 97820 Aylesbury 10","16","","51.813351","-0.809083"
"22","false","County Hall","Market Square","","","HP20 1XD","DX 157430 Aylesbury 11","16","","51.815665","-0.812032"
"23","false","Walton Street","","","","HP21 7QZ","Central Buckinghamshire M DX 149920. Aylesbury 10","16","","51.81078","-0.808171"
"25","false","The Court House","Warwick Road","","","OX16 2AW","DX 701967 Banbury 2","17","","52.06393","-1.340886"
"26","false","The Court House","Warwick Road","","","OX16 2AW","","17","","52.06393","-1.340886"
"28","false","The Criminal Justice Centre","Llanberis Road","","","LL55 2DF","DX 744381 Caernarfon 6","65","","53.140423","-4.265007"
"30","false","St Marys Court","Regents Park Road","Finchley Central","","N3 1BQ","DX 122570 Finchley (Church End)","206","","51.600436","-0.195608"
"32","false","The Court House","Westgate","","","S70 2DW","DX 702080 Barnsley 3","21","","53.554514","-1.484364"
"34","false","8th Floor","The Law Courts","Civic Centre","","EX31 1DX","DX 98560 Barnstaple 2","22","","51.081343","-4.065657"
"35","false","The Law Courts","Civic Centre","","","EX31 1DX","DX 98560 Barnstaple 2","22","","51.081343","-4.065657"
"36","false","Barrow Law Courts","Abbey Road","","","LA14 5QX","DX 65210 Barrow in Furness 2","23","","54.116521","-3.227577"
"37","false","Abbey Road","","","","LA14 5QX","DX 63909 Barrow-in-Furness 2","23","","54.116521","-3.227577"
"39","false","The Gore","","","","SS14 2EW","DX 97633 Basildon 5","25","","51.573831","0.456042"
"40","false","The Court House","Great Oaks","","","SS14 1EH","","25","","51.571771","0.458225"
"41","false","The Court House","London Road","","","RG21 4AB","DX 98570 Basingstoke 3","26","","51.263315","-1.083179"
"43","false","The Law Courts","North Parade Road","","","BA1 5AF","DX 98580 Bath 2","27","","51.381089","-2.351895"
"44","false","North Parade Road","","","","BA1 5AF","DX 98580 Bath 2","27","","51.381089","-2.351895"
"45","false","Shire Hall","3 St Paul's Square","","","MK40 1SQ","DX 729420 Bedford 10","29","","52.135029","-0.467881"
"47","false","4 Belmarsh Road","Thamesmead","","","","","206","","51.496","0.091769"
"48","false","40 Church Street","","","","TD15 1DX","DX551540 Berwick 3 TD","31","","55.769862","-2.001887"
"49","false","The Court House","Champney Road","","","HU17 9EJ","","32","","53.840522","-0.42867"
"50","false","Norwich Place","","","","DA6 7ND","DX 156800  Bromley 10","33","","51.455164","0.148387"
"51","false","Waverley House","Queens Avenue","","","OX26 2NZ","","34","","51.899192","-1.157804"
"53","false","76 Hamilton Street","","","","CH41 5EN","DX 725000 Birkenhead 10","36","","53.391377","-3.016623"
"54","false","Priory Courts","33 Bull Street","","","B4 6DS","DX 701987 Birmingham 7","37","","52.482416","-1.89566"
"56","false","Queen Elizabeth II Law Courts","1 Newton Street","","","B4 7NA","DX 702033 Birmingham 8","37","","52.482895","-1.892644"
"57","false","The Priory Courts","33 Bull Street","","","B4 6DU","DX 701990 Birmingham 7","37","","52.482416","-1.89566"
"58","false","Victoria Law Courts","Corporation Street","","","B4 6QA","DX 715205 Birmingham 39","37","","52.483736","-1.894052"
"59","false","Steelhouse Lane","","","","B4 6BJ","","37","","52.48335","-1.894965"
"62","false","64 Victoria Street","","","","BB1 6DJ","DX 702650 Blackburn 4","39","","53.749899","-2.482482"
"63","false","The Court House","Northgate","","","BB2 1AA","DX 742020 Blackburn 10","39","","53.749174","-2.486098"
