"court_contact_type_id","court_contact_type_desc"
"1","Bailiff Manager"
"2","Court Manager"
"3","Customer Service"
"4","Deputy Court Manager"
"5","General Fax"
"6","Jury Officer"
"7","Listing Officer"
"8","Mediation Service"
"9","Minicom (Welsh)"
"10","Minicom"
"12","Switchboard"
"13","Urgent"
"14","Urgent - non touch tone"
"15","Witness Service"
"16","Other"
"17","RCJ Group Customer Service Officer"
"18","Circuit office"
"19","RCJ Group Manager's Officer"
"20","Admiralty, Commercial and London Mercantile Court"
"21","Bankruptcy and Companies Court"
"22","Chancery"
"23","RCJ Circuit Accommodation"
"24","RCJ Clerk of the Lists - High Court Appeals"
"25","RCJ Costs Office"
"26","RCJ Court Funds"
"27","RCJ Fees Office"
"28","RCJ Mechanical Recording"
"29","RCJ Messenger"
"30","Queen's Bench Associates"
"31","Queen's Bench Action Department - Issue & Registry"
"32","Queen's Bench Masters Support"
"33","RCJ Security"
"34","Technology & Construction Court"
"35","RCJ Ushers"
"36","RCJ Family & Probate Service - Group Customer Service Officer"
"37","RCJ Family & Probate Service - Group Managers Office"
"38","RCJ Family & Probate Service - Family Proceedings"
"39","RCJ Family & Probate Service - Probate"
"40","Diary Manager"
"41","Family direct line"
"42","Court Listing Manager"
"43","Court Process Manager"
"44","Bailiffs"
"45","Issue Section"
"46","Enforcement Section"
"47","Insolvency"
"48","Family Section"
"49","Office Manager"
"50","Criminal Listing"
"51","Civil Listing"
"52","Disabled Parking"
"53","County Court: Fax"
"55","Family Court fax"
"56","District Legal Director"
"57","District Operations Directors"
"58","Court Enforcement Officers"
"59","Licensing"
"60","Payments"
"61","Enquiry desk"
"62","Main Reception"
"63","Civil direct line"
"64","Civil Fax"
"65","Civil Listing DJ"
"66","Civil Listing DJ Fax"
"67","Civil Listing CJ"
"68","Civil Listing CJ Fax"
"69","Family Fax"
"70","Family Listing"
"71","Family Listing - fax"
"72","Crown Court"
"73","Crown Court Listing"
"74","Crown Court: Listing fax"
"75","Customer Service Fax"
"76","Area Directors Office"
"77","Area Directors Office fax"
"78","Judicial Liaison Office"
"79","Judicial Liaison Office fax"
"80","Bench Office Manager"
"81","Bench Legal Manager"
"82","Bailiff Office"
"83","Bailiff enquiries"
"84","Civil and Family enquiries"
"85","Case progression enquiries"
"86","Bailiff Fax"
"87","Lead Court Manager"
"88","Area Office"
"89","Disability Officer"
"90","Justices' Clerk"
"91","Jury Manager / Officer"
"92","Manager"
"93","CLS Liaison Officer"
"94","Telephone conference arrangements"
"95","Helpline"
"103","Court Staff Team Leaders"
"104","Civil Claims fax"
"105","District Operations Managers"
"106","Crown Court: General office fax"
"107","Mercantile / Chancery Listing Section"
"108","Legal Team Manager"
"109","Fixed Penalty Team Leader"
"110","Accommodation Officer"
"111","Family Section Manager"
"112","Group Manager"
"113","General Office"
"114","Family Proceedings"
"115","Fees and Finance"
"116","District Judge listing"
"117","Court Clerk Manager"
"118","Case Progression Officer"
"119","Jury Manager"
"120","Court Office"
"121","Deputy Justices' Clerk"
"122","Principal Admin Manager"
"123","Witness Suite"
"124","Crown Section"
"125","Bailiff Ansaphone"
"126","Acting Court Manager"
"127","Court Clerks / Detemining Officers"
"128","Pre Court"
"129","Post Court"
