"court_email_id","court_email_desc","court_email_addr","court_id"
"1","Enquiries:","ln-blackburnmcenq@hmcts.gsi.gov.uk","7"
"7","Enquiries:","gl-swesternmcenq@hmcts.gsi.gov.uk","24"
"10","Enquiries:","cumbria.south.magistrates@hmcts.gsi.gov.uk","37"
"11","County Court enquiries and e-filing","enquiries@basildon.countycourt.gsi.gov.uk","39"
"20","Enquiries:","bd-generalenquiries@hmcts.gsi.gov.uk","45"
"21","Enquiries:","no_berwick@hmcts.gsi.gov.uk","48"
"23","Enquiries:","gl-bromleymclist@hmcts.gsi.gov.uk","50"
"24","Bailiffs:","bailiffs@birmingham.countycourt.gsi.gov.uk","54"
"25","e-Filing:","e-filing@birmingham.countycourt.gsi.gov.uk","54"
"26","Enquiries:","enquiries@birmingham.countycourt.gsi.gov.uk","54"
"28","Hearings:","hearings@birmingham.countycourt.gsi.gov.uk","54"
"31","Enquiries:","blackburn.cty.cm@hmcts.gsi.gov.uk","62"
"32","Enquiries:","ln-blackburnmcenq@hmcts.gsi.gov.uk","63"
"34","Enquiries:","blackfriars.enquiries@blackfriars.crowncourt.gsi.gov.uk","64"
"35","Enquiries:","ln-blackpoolmcenq@hmcts.gsi.gov.uk","66"
"36","Family:","ln-blackpoolmcfam@hmcts.gsi.gov.uk","66"
"38","Bailiffs:","bailiffs@bournemouth.countycourt.gsi.gov.uk","78"
"39","e-Filing:","e-filing@bournemouth.countycourt.gsi.gov.uk","78"
"40","Enquiries:","enquiries@bournemouth.countycourt.gsi.gov.uk","78"
"41","Family:","family@bournemouth.countycourt.gsi.gov.uk","78"
"42","Hearings:","hearings@bournemouth.countycourt.gsi.gov.uk","78"
"43","Bailiffs:","bailiffs@bow.countycourt.gsi.gov.uk","81"
"44","e-Filing:","e-filing@bow.countycourt.gsi.gov.uk","81"
"45","Enquiries:","enquiries@bow.countycourt.gsi.gov.uk","81"
"46","Family:","family@bow.countycourt.gsi.gov.uk","81"
"47","Hearings:","hearings@bow.countycourt.gsi.gov.uk","81"
"49","Enquiries:","wy-bradfordmags@hmcts.gsi.gov.uk","85"
"50","Bailiffs:","bailiffs@brighton.countycourt.gsi.gov.uk","96"
"51","e-Filing:","e-filing@brighton.countycourt.gsi.gov.uk","96"
"52","Enquiries:","enquiries@brighton.countycourt.gsi.gov.uk","96"
