"court_opening_id","court_id","court_opening_desc","court_opening_type_id"
"3","1","10.00 am","1"
"2466","1","4.00 pm","2"
"7","2","Open for court hearings only.","1"
"10","3","Open for court hearings only","1"
"16","5","9.00 am","1"
"14","5","4.00 pm","2"
"20","6","8.30 am","1"
"19","6","4.30 pm","2"
"22","7","9.15 am","1"
"2679","7","Times may vary. The court closes at the end of the day's court business","2"
"26","9","9.00 am","1"
"25","9","5.30 pm","2"
"29","10","9.00 am","1"
"28","10","5.00 pm (4.30 pm Friday)","2"
"30","10","9.00 am","3"
"27","10","4.30 pm (4.00 pm Friday)","4"
"35","13","9.00 am","1"
"38","13","Open until close of Court business.","2"
"36","13","No Counter","3"
"37","13","No Counter","4"
"42","14","9.00 am","1"
"40","14","5.00 pm","2"
"2558","14","9.00 am","13"
"2559","14","5.00 pm","14"
"46","16","9.00 am","1"
"49","16","Open until close of Court business.","2"
"47","16","No public counter","3"
"48","16","No public counter","4"
"52","17","9.00 am","1"
"50","17","4.00 pm","2"
"53","17","9.30 am","3"
"51","17","4.00 pm","4"
"2742","17","9.00 am to 5.00 pm","13"
"56","18","9.30 am","1"
"54","18","4.00 pm","2"
"57","18","9.30 am","3"
"55","18","4.00 pm","4"
"60","19","9.00 am","1"
"58","19","5.00 pm","2"
"61","19","9.00 am","3"
"59","19","4.00 pm","4"
"2560","19","9.00 am","13"
"2561","19","5.00 pm","14"
"65","21","8.30 am","1"
"63","21","5.00 pm","2"
"2641","21","9.00am","13"
"2642","21","5.00pm","14"
"67","22","8.00 am","1"
"66","22","5.00 pm","2"
"70","23","8.45 am","1"
"68","23","5.15 pm (4.45 pm Friday)","2"
"71","23","8.45 am","3"
"69","23","5.15 pm (4.45 pm Friday)","4"
"74","24","9.00 am","1"
"72","24","4.30 pm","2"
"75","24","9.30 am","3"
"73","24","4.30 pm","4"
"1949","25","9.30 am","1"
"1950","25","4.00 pm","2"
"2755","25","9.00 am to 5.00 pm","13"
"2440","26","8:45 am","1"
"79","26","Open until close of Court business.","2"
"2441","26","8:45 am","3"
"78","26","4.00 pm (3.30 pm Friday)","4"
"82","28","9.30 am","1"
"80","28","4.00 pm","2"
"83","28","9.30 am","3"
"81","28","4.00 pm","4"
"87","29","9.00 am","1"
"84","29","4.30 pm","2"
"2346","29","9.00 am","3"
"2347","29","4.30 pm","4"
"88","30","9.00 am","1"
"90","30","5.00 pm","2"
"2729","30","9.00 am to 5.00 pm","13"
"99","32","9.00 am","1"
"97","32","5.00 pm","2"
"2808","32","9.00 am to 5.00 pm","13"
"106","34","9.30 am","1"
"105","34","at close of business","2"
"2487","35","9.15 am (Mon-Thurs) 9.00 am (Fri)","1"
"2465","35","At close of business","2"
"2426","35","9.30 am","3"
"2427","35","4.00 pm","4"
"115","36","10.00 am","1"
"113","36","4.00 pm","2"
"118","37","9.00 am","1"
"116","37","5.00 pm","2"
"119","37","9.00 am","3"
"117","37","5.00 pm","4"
"1922","38","9.00 am","1"
"1923","38","Monday to Thursday: 4.30 pm, Friday: 4.00 pm","2"
