"court_work_id","court_work_type_id","court_id"
"1","18","361"
"3","18","175"
"5","18","600"
"7","18","626"
"10","18","562"
"14","7","636"
"16","18","606"
"17","5","36"
"19","18","327"
"24","42","423"
"26","34","557"
"28","6","575"
"29","18","579"
"30","6","591"
"31","34","598"
"34","6","671"
"35","6","678"
"36","119","2"
"37","18","60"
"39","6","70"
"41","6","78"
"43","6","86"
"47","6","180"
"48","6","198"
"53","39","348"
"54","39","361"
"55","5","394"
"56","18","397"
"59","6","597"
"61","6","460"
"62","6","503"
"65","6","616"
"66","18","635"
"69","15","54"
"70","18","125"
"71","6","377"
"73","6","104"
"107","7","657"
"110","7","668"
"113","7","680"
"149","34","379"
"150","34","445"
"151","18","438"
"152","9","486"
"155","18","538"
"157","74","54"
"159","38","445"
"167","6","588"
"168","9","591"
"169","34","600"
"171","18","622"
"184","39","60"
"189","6","118"
"190","39","129"
"199","42","327"
"200","42","348"
"216","14","678"
"217","18","334"
"219","101","445"
"220","34","468"
"221","14","524"
"224","42","60"
"227","102","129"
"229","18","348"
"231","14","671"
"232","14","575"
"233","14","616"
"234","18","689"
"235","15","486"
"239","15","145"
"242","42","517"
"244","42","6"
"245","42","86"
"246","42","88"
"249","42","615"
"250","42","486"
"251","42","490"
"252","18","503"
"254","42","635"
"255","42","9"
"256","42","70"
"257","42","180"
"259","42","104"
"260","42","622"
"261","18","400"
"263","18","411"
"266","18","419"
"267","18","420"
"268","6","426"
"274","18","448"
"276","18","455"
"277","18","460"
"278","18","462"
"279","18","463"
"284","18","478"
"285","18","480"
"288","18","490"
"289","18","492"
"291","18","509"
"295","18","519"
"296","34","523"
"297","18","524"
"298","34","532"
"299","18","535"
"301","18","567"
"302","18","575"
"308","18","595"
"309","18","597"
"310","18","602"
"312","18","616"
"315","18","629"
"320","18","647"
"321","18","650"
"322","18","653"
"323","5","656"
"324","18","657"
"328","18","680"
"330","18","683"
"333","18","21"
"334","18","30"
"335","18","34"
"337","18","39"
"338","34","45"
"340","18","53"
"341","39","55"
"342","18","62"
"343","18","65"
"345","18","73"
"346","18","85"
"347","18","86"
"348","18","88"
"349","18","96"
"350","18","107"
"351","18","109"
"352","18","111"
"354","18","113"
"356","18","116"
"361","18","138"
"362","18","145"
"365","18","160"
"370","18","190"
"371","34","193"
"373","18","198"
"376","18","212"
"377","18","213"
"379","18","219"
"381","18","226"
"385","18","261"
"387","18","267"
"389","39","271"
"390","18","274"
"391","18","276"
"393","18","282"
"394","18","287"
"395","18","289"
"396","18","291"
"400","18","314"
"401","18","316"
"402","39","318"
"405","18","329"
"407","18","349"
"408","34","359"
"410","18","362"
"413","18","370"
"414","18","371"
"415","119","373"
"417","18","380"
"418","34","381"
"419","102","445"
"420","18","452"
"421","18","486"
"422","18","555"
"423","18","559"
"424","18","615"
"425","18","5"
"426","18","6"
"427","18","17"
"429","18","637"
"430","38","503"
"433","20","597"
"436","20","626"
"437","18","239"
"438","18","192"
"440","18","517"
"442","18","691"
"443","18","43"
"445","34","530"
"448","39","438"
"449","18","475"
"450","42","55"
"462","34","22"
"472","34","429"
"473","34","484"
"475","18","523"
"476","18","532"
"477","34","551"
"479","34","16"
"480","34","51"
"481","34","148"
"483","119","193"
"484","34","230"
"485","34","333"
"487","18","381"
"488","34","264"
"489","34","400"
"492","34","412"
"493","34","413"
"494","14","426"
"498","34","443"
"499","34","446"
"500","34","453"
"502","34","457"
"504","34","462"
"508","34","474"
"509","34","476"
"510","34","485"
"511","34","487"
"512","34","488"
"514","34","493"
"515","34","497"
"516","34","498"
"518","34","508"
"519","34","510"
"521","34","514"
"523","34","522"
"524","34","531"
"525","34","536"
"527","34","539"
"528","34","540"
"530","34","564"
"531","34","568"
"537","34","585"
"539","34","589"
"541","34","603"
"544","34","618"
"545","34","627"
"546","34","628"
"550","18","640"
"551","34","641"
"554","34","659"
"555","34","670"
"556","34","673"
"557","34","676"
"558","34","678"
"559","34","679"
"560","34","692"
"561","34","693"
"562","34","7"
"563","34","10"
"564","34","13"
"566","34","23"
"569","34","39"
"570","34","42"
"572","34","48"
"573","34","52"
"574","34","63"
"575","34","64"
"576","34","66"
"577","34","73"
"582","34","83"
"583","34","85"
"584","34","87"
"585","34","89"
"587","34","101"
"588","34","108"
"589","34","112"
"590","34","114"
"591","34","115"
"592","34","119"
"593","34","120"
"594","34","124"
"595","34","127"
"596","34","132"
"598","34","143"
"599","34","150"
"600","34","167"
"601","34","178"
"603","34","181"
"607","34","198"
"608","34","204"
"609","34","205"
"610","34","207"
"612","34","213"
"613","34","215"
"615","34","223"
"616","34","228"
"618","34","233"
"621","34","253"
"624","34","258"
"627","34","262"
"628","34","268"
"629","34","270"
"631","34","283"
"632","34","284"
"633","34","289"
"634","34","292"
"637","34","301"
"639","34","308"
"640","34","311"
"641","34","313"
"642","34","314"
"644","34","321"
"645","34","323"
"646","34","325"
"648","34","330"
"649","34","331"
"650","34","337"
"651","34","340"
"653","34","342"
"654","34","345"
"655","34","351"
"658","34","360"
"659","34","363"
"661","34","370"
"663","34","373"
"664","34","375"
"665","34","378"
"666","42","380"
"668","34","520"
"669","34","163"
"670","34","26"
"672","42","445"
"677","42","600"
"680","39","503"
"682","82","445"
"683","18","468"
"684","42","513"
"685","38","517"
"686","38","524"
"687","38","545"
"692","38","653"
"694","18","32"
"696","38","53"
"697","18","81"
"698","38","96"
"699","102","118"
"701","38","183"
"707","39","414"
"708","39","415"
"711","39","466"
"712","39","486"
"713","39","490"
"714","42","503"
"715","18","506"
"716","39","513"
"717","39","517"
"718","42","538"
"719","39","545"
"721","39","562"
"722","39","567"
"723","39","575"
"725","18","588"
"727","38","606"
"728","39","615"
"731","39","626"
"732","6","635"
"734","39","653"
"736","39","671"
"738","39","683"
"741","39","5"
"742","39","6"
"743","39","9"
"744","39","14"
"746","39","30"
"747","39","32"
"748","39","36"
"749","39","43"
"750","39","53"
"751","107","54"
"752","6","55"
"753","39","62"
"754","39","70"
"755","6","81"
"756","39","86"
"757","39","88"
"759","39","104"
"760","39","111"
"761","39","113"
"762","39","138"
"763","39","175"
"764","39","183"
"766","39","239"
"768","39","276"
"769","39","291"
"773","39","362"
"780","18","440"
"788","18","671"
"789","18","9"
"791","42","36"
"795","18","104"
"796","18","112"
"799","102","125"
"801","18","144"
"808","18","331"
"812","18","379"
"816","42","400"
"820","42","414"
"823","18","426"
"831","42","460"
"833","42","463"
"835","42","468"
"849","42","510"
"859","42","535"
"863","42","562"
"864","42","564"
"866","42","567"
"875","34","592"
"878","42","597"
"879","38","600"
"880","42","602"
"881","42","603"
"883","42","616"
"885","42","626"
"887","42","628"
"888","42","629"
"894","42","650"
"895","42","653"
"896","9","656"
"897","42","657"
"904","42","679"
"905","42","680"
"918","42","30"
"919","42","32"
"921","42","34"
"926","42","43"
"933","42","53"
"934","81","54"
"935","34","56"
"937","42","65"
"941","42","75"
"944","42","81"
"951","42","96"
"954","42","109"
"956","42","111"
"958","42","113"
"960","39","118"
"963","39","125"
"964","119","127"
"966","42","129"
"972","42","160"
"973","42","163"
"977","42","183"
"980","42","190"
"982","42","198"
"985","42","206"
"987","42","212"
"992","42","219"
"999","42","246"
"1004","42","261"
"1006","42","267"
"1009","42","271"
"1011","42","274"
"1014","42","282"
"1017","42","291"
"1019","42","296"
"1025","42","316"
"1026","18","322"
"1031","42","342"
"1035","34","357"
"1042","42","377"
"1045","39","380"
"1051","42","575"
"1055","42","524"
"1071","18","466"
"1075","18","83"
"1077","6","125"
"1086","18","659"
"1147","38","448"
"1212","9","513"
"1251","42","552"
"1335","18","636"
"1336","34","637"
"1374","42","675"
"1437","119","45"
"1446","61","54"
"1521","5","129"
"1563","18","172"
"1577","20","186"
"1611","18","221"
"1615","39","225"
"1645","39","256"
"1683","18","296"
"1686","34","299"
"1784","34","396"
"1813","38","426"
"1827","18","656"
"1833","74","125"
"1844","18","320"
"1849","34","380"
"1878","58","510"
"1890","119","551"
"1897","58","603"
"1911","58","23"
"1939","58","246"
"1951","58","314"
"2010","61","145"
"2036","18","180"
"2037","18","183"
"2045","34","79"
"2051","42","466"
"2052","39","519"
"2053","42","545"
"2054","42","683"
"2056","42","175"
"2057","42","239"
"2071","42","305"
"2073","18","54"
"2075","6","129"
"2076","74","145"
"2085","18","36"
"2086","18","414"
"2087","39","423"
"2088","18","458"
"2097","39","552"
"2102","14","591"
"2111","18","678"
"2112","18","1"
"2113","34","2"
"2118","18","14"
"2124","18","70"
"2125","18","75"
"2126","18","78"
"2145","18","285"
"2146","18","300"
"2147","18","305"
"2149","6","344"
"2152","18","377"
"2155","18","394"
"2162","81","145"
"2164","82","545"
"2165","82","107"
"2169","82","394"
"2172","119","520"
"2175","119","628"
"2176","119","648"
"2177","119","52"
"2178","119","59"
"2179","119","85"
"2181","119","108"
"2182","119","123"
"2184","119","213"
"2188","119","262"
"2190","119","283"
"2192","119","383"
"2195","119","268"
"2196","119","24"
"2200","119","432"
"2202","119","440"
"2205","119","476"
"2207","119","499"
"2208","119","504"
"2211","119","522"
"2213","119","536"
"2215","119","540"
"2220","119","585"
"2223","119","627"
"2227","119","657"
"2228","119","659"
"2231","119","668"
"2233","119","680"
"2234","119","693"
"2243","119","87"
"2245","119","112"
"2249","119","181"
"2255","119","223"
"2258","119","270"
"2263","119","331"
"2265","119","378"
"2266","119","379"
"2267","71","28"
"2268","71","57"
"2269","71","72"
"2270","71","98"
"2272","71","134"
"2273","71","137"
"2274","71","140"
"2276","71","229"
"2277","71","245"
"2278","71","312"
"2279","71","338"
"2281","71","355"
"2282","71","358"
"2283","71","365"
"2284","71","382"
"2286","71","405"
"2287","71","424"
"2288","71","447"
"2289","71","451"
"2290","71","461"
"2291","71","470"
"2292","71","526"
"2293","71","574"
"2294","71","665"
"2295","71","694"
"2302","34","157"
"2309","6","423"
"2320","42","678"
"2321","42","221"
"2322","20","575"
"2325","34","716"
"2326","18","716"
"2327","82","552"
"2328","42","334"
"2329","39","622"
"2330","9","622"
"2331","42","256"
"2333","6","256"
"2334","18","256"
"2337","9","256"
"2339","39","186"
"2341","38","186"
"2349","38","635"
"2350","34","635"
"2351","38","172"
"2352","82","172"
"2353","42","506"
"2356","14","448"
"2357","74","448"
"2358","9","675"
"2359","18","675"
"2364","39","78"
"2366","42","225"
"2367","18","225"
"2376","18","625"
"2378","42","625"
"2379","119","625"
"2381","42","636"
"2382","119","636"
"2383","18","84"
"2384","34","84"
"2385","39","84"
"2386","42","84"
"2389","74","129"
"2390","38","129"
"2392","119","396"
"2394","5","54"
"2395","7","601"
"2396","119","601"
