"local_authority_id","local_authority_name","gss_code"
"1","Neath Port Talbot Council","W06000012"
"2","Bristol City Council","E06000023"
"3","Derby City Council","E06000015"
"4","Hull City Council","E06000010"
"5","Leicester City Council","E06000016"
"6","Nottingham City Council","E06000018"
"7","Peterborough City Council","E06000031"
"8","Southampton City Council","E06000045"
"9","Stoke-on-Trent City Council","E06000021"
"10","Conwy Council","W06000003"
"11","Herefordshire Council","E06000019"
"12","Darlington Borough Council","E06000005"
"13","East Riding of Yorkshire Council","E06000011"
"14","Halton Borough Council","E06000006"
"15","Hartlepool Borough Council","E06000001"
"16","Luton Borough Council","E06000032"
"17","Medway Council","E06000035"
"18","Merthyr Tydfil Council","W06000024"
"19","Middlesbrough Council","E06000002"
"20","Milton Keynes Council","E06000042"
"21","North East Lincolnshire Council","E06000012"
"22","North Lincolnshire Council","E06000013"
"23","Bridgend Council","W06000013"
"24","Poole Borough Council","E06000029"
"25","Powys Council","W06000023"
"26","Reading Borough Council","E06000038"
"27","Redcar and Cleveland Borough Council","E06000003"
"28","Rhondda Cynon Taf Council","W06000016"
"29","Rutland County Council","E06000017"
"30","Denbighshire Council","W06000004"
"31","Monmouthshire Council","W06000021"
"32","Carmarthenshire Council","W06000010"
"33","Flintshire Council","W06000005"
"34","Slough Borough Council","E06000039"
"35","Southend-on-Sea Borough Council","E06000033"
"36","South Gloucestershire Council","E06000025"
"37","Stockton-on-Tees Borough Council","E06000004"
"38","Swindon Borough Council","E06000030"
"39","Telford and Wrekin Council","E06000020"
"40","Brighton and Hove City Council","E06000043"
"41","Thurrock Borough Council","E06000034"
"42","Torfaen Council","W06000020"
"43","Torbay Borough Council","E06000027"
"44","Warrington Borough Council","E06000007"
"45","West Berkshire Council","E06000037"
"46","Windsor and Maidenhead Council","E06000040"
"47","Wokingham Borough Council","E06000041"
"48","Wrexham Council","W06000006"
"49","City of York Council","E06000014"
"50","Cheshire West and Chester Council","E06000050"
"51","Cheshire East Council","E06000049"
"52","Central Bedfordshire Council","E06000056"
"53","Cardiff Council","W06000015"
"54","Ceredigion Council","W06000008"
"55","Pembrokeshire Council","W06000009"
"56","North Somerset Council","E06000024"
"57","Portsmouth City Council","E06000044"
"58","Plymouth City Council","E06000026"
"59","Buckinghamshire County Council","E10000002"
"60","Cambridgeshire County Council","E10000003"
"61","Cumbria County Council","E10000006"
"62","Derbyshire County Council","E10000007"
"63","Dorset County Council","E10000009"
"64","Durham County Council","E06000047"
"65","East Sussex County Council","E10000011"
"66","Essex County Council","E10000012"
"67","Gloucestershire County Council","E10000013"
"68","Hampshire County Council","E10000014"
"69","Hertfordshire County Council","E10000015"
"70","Kent County Council","E10000016"
"71","Lancashire County Council","E10000017"
"72","Leicestershire County Council","E10000018"
"73","Lincolnshire County Council","E10000019"
