"court_name","local_authority_names"
"Aberystwyth Justice Centre","Swansea Council,Neath Port Talbot Council,Carmarthenshire Council,Pembrokeshire Council,Ceredigion Council,Powys Council"
"Accrington County Court","Blackpool Borough Council,Blackburn with Darwen Borough Council,Lancashire County Council"
"Aldershot and Farnham County Court","Portsmouth City Council,Southampton City Council,Isle of Wight Council,Hampshire County Council"
"Altrincham County Court","Bolton Borough Council,Bury Borough Council,Rochdale Borough Council,Oldham Borough Council,Wigan Borough Council,Salford City Council,Trafford Borough Council,Manchester City Council,Tameside Borough Council,Stockport Borough Council"
"Barnet Civil and Family Courts Centre","Harrow Borough Council,Barnet Borough Council,Haringey Borough Council,Enfield Borough Council,Hillingdon Borough Council"
"Barnsley Law Courts","Barnsley Borough Council,Sheffield City Council,Doncaster Borough Council,Rotherham Borough Council"
"Barnstaple County Court","Devon County Council,Torbay Borough Council"
"Barrow-in-Furness County Court","Cumbria County Council"
"Basingstoke County Court","Portsmouth City Council,Southampton City Council,Isle of Wight Council,Hampshire County Council"
"Bath County Court","Bath and North East Somerset Council,Bristol City Council,North Somerset Council,Gloucestershire County Council,South Gloucestershire Council"
"Bedford County Court","Luton Borough Council,Central Bedfordshire Council,Bedford Borough Council"
"Birkenhead County Court","Cheshire East Council,Cheshire West and Chester Council,Warrington Borough Council,Halton Borough Council,Liverpool City Council,Wirral Borough Council,Sefton Borough Council,Knowsley Borough Council,St Helens Borough Council"
"Birmingham Civil Justice Centre and Family Courts","Birmingham City Council,Solihull Borough Council"
"Blackburn County Court","Blackpool Borough Council,Blackburn with Darwen Borough Council,Lancashire County Council"
"Blackpool County Court","Blackpool Borough Council,Blackburn with Darwen Borough Council,Lancashire County Council"
"Blackwood Civil and Family Court","Newport Council,Monmouthshire Council,Caerphilly Council,Torfaen Council,Blaenau Gwent Council,Cardiff Council,Rhondda Cynon Taf Council,Merthyr Tydfil Council,Vale of Glamorgan Council,Bridgend Council"
"Bodmin County Court","Cornwall Council"
"Bolton County Court","Bolton Borough Council,Bury Borough Council,Rochdale Borough Council,Oldham Borough Council,Wigan Borough Council,Salford City Council,Trafford Borough Council,Manchester City Council,Tameside Borough Council,Stockport Borough Council"
"Boston County Court","Lincolnshire County Council"
"Bournemouth and Poole County Court","Dorset County Council,Poole Borough Council,Bournemouth Borough Council"
"Bow County Court","Redbridge Borough Council,Newham Borough Council,Tower Hamlets Borough Council,Waltham Forest Borough Council"
"Bradford Combined Court Centre","Leeds City Council,Bradford City Council,Calderdale Borough Council,Wakefield City Council,Kirklees Borough Council"
"Brentford County Court","Ealing Borough Council,Hounslow Borough Council,Brent Borough Council,Kingston upon Thames Borough Council,Richmond upon Thames Borough Council"
"Bridgend Law Courts","Newport Council,Monmouthshire Council,Caerphilly Council,Torfaen Council,Blaenau Gwent Council,Cardiff Council,Rhondda Cynon Taf Council,Merthyr Tydfil Council,Vale of Glamorgan Council,Bridgend Council"
"Brighton Family Court","East Sussex County Council,West Sussex County Council,Brighton and Hove City Council"
"Bristol Civil Justice Centre","Bath and North East Somerset Council,Bristol City Council,North Somerset Council,Gloucestershire County Council,South Gloucestershire Council"
"Bromley County Court","Bexley Borough Council,Bromley Council,Lewisham Borough Council,Greenwich Borough Council"
"Bury County Court","Bolton Borough Council,Bury Borough Council,Rochdale Borough Council,Oldham Borough Council,Wigan Borough Council,Salford City Council,Trafford Borough Council,Manchester City Council,Tameside Borough Council,Stockport Borough Council"
"Bury St Edmunds County Court","Suffolk County Council"
"Buxton County Court","Derby City Council,Derbyshire County Council"
"Caernarfon County Court","Wrexham Council,Flintshire Council,Denbighshire Council,Powys Council,Conwy Council,Gwynedd Council,Isle of Anglesey Council"
"Cambridge County Court","Peterborough City Council,Cambridgeshire County Council,Rutland County Council"
"Canterbury Combined Court Centre","Kent County Council,Medway Council"
